A,kid_score (IQ score),mom_hs (whether or not she graduated HS,mom_iq,mom_age  (age of childbirth)
148,121,1,100.4371938,22
149,106,1,89.52538756,26
150,121,1,120.9229478,19
151,102,1,113.1437691,24
152,64,1,126.4147469,29
153,99,1,122.7371635,28
154,81,1,115.3752667,26
155,69,1,91.60674173,20
156,84,1,88.66032097,21
157,104,1,107.1789636,26
158,104,1,104.969604,23
159,107,1,103.8630334,25
160,88,1,110.0968061,21
161,67,0,88.45431744,20
162,103,0,117.0321396,21
163,94,1,125.6565881,22
164,109,1,122.6010419,24
165,94,1,121.0496304,26
166,98,1,93.14479086,25
167,102,1,99.37856356,21
168,104,1,123.8928074,29
169,114,0,113.0432269,20
170,87,1,115.7711699,21
171,102,1,114.9383455,22
172,77,1,93.62087658,23
173,109,1,121.7480135,27
174,94,1,90.34943603,22
175,93,0,83.41043858,20
176,86,1,99.48646263,19
177,97,1,113.9103755,28
178,97,1,97.59500805,19
179,88,1,89.81582933,24
180,103,1,119.5847392,28
181,87,0,97.38164763,24
182,87,1,84.87741183,21
183,90,1,102.3286483,22
184,65,1,99.2731022,24
185,111,0,99.07504975,18
186,109,1,96.9277,25
187,87,1,108.3132506,19
188,58,1,100.5340719,24
189,87,1,99.48646263,19
190,113,1,113.9876144,19
191,64,0,92.77020117,18
192,78,0,88.02983612,21
193,97,0,106.1115575,22
194,95,0,103.2325486,25
195,75,1,99.2952403,23
196,91,0,106.7420423,22
197,99,1,99.17256003,20
198,108,1,102.4476646,23
199,95,1,92.86771145,20
200,100,1,116.826136,20
201,85,1,85.42457343,23
202,97,0,115.5651663,20
203,108,1,113.1745649,29
204,90,1,106.8610586,23
205,100,1,95.83023613,26
206,82,0,77.10925402,22
207,94,1,89.29080583,21
208,95,1,112.412742,20
209,119,1,110.6439677,23
210,98,1,109.5373972,25
211,100,0,107.9018378,18
212,112,1,104.969604,23
213,136,0,107.6827658,19
214,122,1,109.4663213,21
215,126,1,133.532645,19
216,116,1,128.8090124,22
217,98,1,101.2700181,21
218,94,1,87.316028,23
219,93,1,118.0907698,22
220,90,1,120.2556397,25
221,70,1,90.34577201,20
222,110,1,79.90460884,25
223,104,1,136.5771702,21
224,83,1,102.4255265,24
225,99,1,132.6887997,24
226,81,1,96.29721515,25
227,104,1,118.209786,23
228,109,1,118.0907698,22
229,113,1,101.5045999,26
230,95,0,94.33468469,21
231,74,1,84.67140829,20
232,81,1,86.7688664,21
233,89,1,129.2459336,26
234,93,1,127.7810423,28
235,102,1,106.8610586,23
236,95,1,105.754488,25
237,85,1,117.0321396,21
238,97,1,119.3517395,22
239,92,1,102.7655696,26
240,78,0,108.2053516,21
241,104,1,126.4147469,29
242,120,1,101.900503,21
243,83,0,99.15625564,17
244,105,1,91.81274526,21
245,68,1,84.14146561,24
246,104,1,84.35482604,19
247,80,1,79.11972485,23
248,120,1,91.41684213,26
249,94,1,90.44631419,24
250,81,1,79.00070859,22
251,101,1,109.2639818,22
252,61,1,76.75218455,25
253,68,1,97.59500805,19
254,110,1,128.8090124,22
255,89,0,113.6574074,17
256,98,0,114.2066863,18
257,113,1,112.5132842,24
258,50,0,75.3368157,23
259,57,0,81.52264802,22
260,86,1,102.6388869,19
261,83,1,101.1866949,23
262,106,1,112.2228424,26
263,106,0,123.408064,25
264,104,1,86.56652689,22
265,78,1,100.1169475,19
266,99,1,102.3286483,22
267,91,1,87.94651286,23
268,40,0,80.25801429,20
269,42,0,80.25801429,20
270,69,1,91.07679905,24
271,84,1,85.57897256,25
272,58,1,113.1659072,23
273,42,1,112.0593366,25
274,72,1,101.2700181,21
275,80,0,81.83288661,19
276,58,0,81.09450268,21
277,52,1,81.3290844,26
278,101,1,120.6090452,20
279,63,1,102.4476646,23
280,73,1,90.97625687,20
281,68,1,103.7086343,23
282,60,1,102.3286483,22
283,69,1,121.8700149,20
284,73,0,88.66032097,21
285,75,0,90.02918976,19
286,20,0,83.53311886,23
287,56,1,91.92064433,19
288,49,1,87.19334773,20
289,71,0,80.46401782,21
290,46,0,84.31800285,25
291,54,0,77.73973888,22
292,54,0,82.27214914,23
293,44,1,77.38266941,25
294,74,1,89.71528716,20
295,58,0,79.90460884,25
296,46,1,82.15313288,22
297,76,0,80.26167831,22
298,43,0,77.38266941,25
299,60,0,82.78361774,22
300,58,1,89.20748258,23
301,89,1,89.08846632,22
302,43,0,88.98729202,18
303,94,1,118.9235942,21
304,88,1,83.85102383,26
305,79,1,84.04458746,22
306,87,1,105.0529273,21
307,46,1,107.999348,20
308,95,1,97.38164763,24
309,92,1,103.7919576,21
310,42,0,97.59500805,19
311,62,1,88.66032097,21
312,52,1,107.2468617,27
313,101,1,89.83796743,23
314,97,1,108.9069123,25
315,85,1,100.6395333,21
316,98,1,118.8402709,23
317,94,1,95.51233116,23
318,90,1,84.77195047,24
319,72,1,100.7474323,19
320,92,1,87.00344812,26
321,75,0,77.85875513,23
322,83,1,85.30189315,20
323,64,1,92.77020117,18
324,101,1,74.86072998,25
325,82,1,115.2485841,19
326,77,1,107.3725272,22
327,101,1,102.2029829,27
328,50,1,97.91159031,20
329,90,1,96.85662413,21
330,103,1,111.4656749,19
331,96,1,109.4663213,21
332,50,1,82.25001104,24
333,47,1,92.77020117,18
334,73,1,115.5688303,22
335,62,0,84.04458746,22
336,77,1,116.1993152,22
337,64,1,99.2952403,23
338,52,1,87.19334773,20
339,61,1,76.71176886,28
340,86,1,80.69859954,26
341,41,0,82.46337146,19
342,83,1,85.1798917,27
343,64,1,93.07371498,21
344,83,1,88.57699772,23
345,116,1,103.0560113,24
346,100,0,86.87676547,19
347,42,0,97.91525433,22
348,74,1,120.9229478,19
349,76,1,91.72942201,23
350,92,1,87.50725033,19
351,98,1,90.44631419,24
352,96,1,84.16360371,23
353,67,1,96.65428461,22
354,84,1,95.70355348,19
355,111,1,88.76822004,19
356,41,0,92.13971631,18
357,68,1,108.0030121,22
358,107,1,80.38935225,29
359,82,0,99.80304488,20
360,89,1,90.02918976,19
361,83,1,93.93878156,26
362,73,1,103.7086343,23
363,74,1,77.10925402,22
364,94,1,117.5571631,24
365,58,1,79.83353296,21
366,76,1,83.61644211,21
367,61,1,88.73139685,25
369,100,1,86.87676547,19
370,84,1,88.73139685,25
371,99,1,92.24089061,22
372,86,1,90.55177555,21
373,94,1,84.14146561,24
374,90,1,93.07371498,21
375,50,0,85.83486773,18
376,112,1,98.85597777,19
377,58,1,95.51233116,23
378,87,1,101.0676786,22
379,76,1,85.93237801,20
380,68,1,82.78361774,22
381,110,1,98.66475544,23
382,88,0,82.14946886,20
383,87,0,85.61579575,19
384,54,0,79.43762983,26
385,49,0,75.3368157,23
386,56,1,80.89216317,22
387,79,1,115.7711699,21
388,82,1,97.159104,27
389,80,0,80.89216317,22
390,60,1,79.50552798,27
391,102,1,98.01213248,24
392,87,1,108.8664966,28
393,42,0,80.69859954,26
394,119,1,100.7474323,19
395,84,1,91.09893715,23
396,86,1,82.98595725,21
397,113,1,89.71528716,20
398,72,1,131.0107055,19
399,104,1,124.5146346,23
400,94,1,91.61040575,22
401,78,0,92.99039172,23
402,80,0,91.88382114,25
403,67,0,88.69098116,28
404,104,1,126.0935093,26
405,96,0,84.98531089,19
406,65,0,82.98595725,21
407,64,1,101.7950416,24
408,95,1,100.2436301,26
409,56,1,110.0134829,23
410,75,0,88.57699772,23
411,91,1,106.7420423,22
412,106,1,95.2921406,18
413,76,1,108.3132506,19
414,90,1,110.3313879,26
415,108,1,116.8298001,22
416,86,0,86.68554314,23
417,85,1,96.85662413,21
418,104,0,90.24826174,18
419,87,1,89.29080583,21
420,41,0,74.23024512,25
421,106,0,91.88382114,25
422,76,0,96.46072099,26
423,100,0,97.40378573,23
424,89,1,131.5332913,21
425,42,1,78.24455827,27
426,102,1,127.6757166,29
427,104,1,124.5146346,23
428,59,0,80.46401782,21
429,93,0,74.86072998,25
430,94,0,84.87741183,21
431,76,1,92.99039172,23
432,50,0,94.85970819,24
433,88,1,96.85662413,21
434,70,1,91.25333628,25
